"formula_id","paper_anchor","formula_plaintext","implementation","test_file","test_function","validation_scope","status"
"architecture_synthesis","formula:architecture_synthesis","scale symmetry + holographic bound + recursive coupling flow + fixed-point recursion + generative succession","core.formulas.architecture_terms","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"fixed_point_generative_relation","formula:fixed_point_generative_relation","F = T[F] and W[F] -> F'","core.formulas.generative_constraints; core.self_replication.generative_operator","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"operator_commutator","formula:operator_commutator","[T,H] = 0","core.formulas.commutator","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"decoherence_contraction","formula:decoherence_contraction","D_n^dagger D_n <= 1","core.formulas.contraction_norm","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"curvature_self_adjoint","formula:curvature_self_adjoint","C_k = C_k^dagger","core.formulas.is_hermitian","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"fractal_self_similarity","formula:fractal_self_similarity","F(x, lambda t, lambda E) = lambda^D F(x, t, E)","core.formulas.fractal_self_similarity; core.field.UnifiedField.compute_fractal_recursion","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"holographic_bound","formula:holographic_bound","S <= A / (4 l_P^2)","core.formulas.holographic_entropy_bound; core.field.UnifiedField.compute_entropy","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"recursive_coupling","formula:recursive_coupling","g_i(lambda E) = g_i(E) + sum alpha^n F_n^i(lambda)","core.formulas.recursive_coupling; core.field.UnifiedField.compute_beta_function","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"generative_relation","formula:generative_relation","W[F] -> F'","core.self_replication.generative_operator","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"norm_preservation","formula:norm_preservation","norm(F') = norm(F)","core.formulas.generative_constraints; core.self_replication.replication_metrics","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"bounded_similarity","formula:bounded_similarity","0 < sim(F,F') < 1","core.formulas.generative_constraints; core.self_replication.self_similarity","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"positive_residual","formula:positive_residual","norm(F' - F) > 0","core.formulas.generative_constraints; core.self_replication.replication_metrics","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"recursive_generative_architecture","formula:recursive_generative_architecture","F = T[F], W[F] -> F', F' ~= T[F']","core.formulas.generative_constraints; core.self_replication.replication_sequence","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"unified_field_expansion","formula:unified_field_expansion","F(x,t,E) = integral sum alpha^n Psi_n exp(iL) dx","core.formulas.unified_field_expansion","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"basis_closure","formula:basis_closure","T[Psi_n] = alpha Psi_{n+1}","core.formulas.basis_closure","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"resolution_identity","formula:resolution_identity","sum |Psi_n><Psi_n| / N_n = I","core.formulas.resolution_identity","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","finite_basis_proxy","internally_validated"
"convergence_tail_bound","formula:convergence_tail_bound","sum_{n=N}^infty alpha^n norm(Psi_n) <= M alpha^N/(1-alpha)","core.formulas.convergence_tail_bound","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"w_operator","formula:w_operator","F' = N((1-alpha)F + alpha e^(i phi) shift(F) + eta alpha mu grad(F))","core.self_replication.generative_operator","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"self_similarity_overlap","formula:self_similarity_overlap","sim(F,F') = |<F,F'>|/(norm(F) norm(F'))","core.formulas.generative_constraints; core.self_replication.self_similarity","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"generative_sequence","formula:generative_sequence","F_0 = F, F_{n+1} = W[F_n]","core.self_replication.replication_sequence","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"degrees_of_freedom","formula:degrees_of_freedom","N_n = (L_n/l_P)^2 product(1+alpha^k)^-1","core.formulas.degrees_of_freedom; core.field.UnifiedField.compute_dof_at_level","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"boundary_dimension","formula:boundary_dimension","D_boundary = 2","core.formulas.boundary_dimension; core.field.UnifiedField.compute_boundary_fractal_dimension","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"area_entropy_ratio","formula:area_entropy_ratio","S(r) proportional to r^2 and S(2r)/S(r)=4","core.formulas.area_entropy; core.field.UnifiedField.compute_entropy","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
