"term_id","term","definition","scope","primary_public_anchor"
"field_state","F","A finite executable field-state proxy used to represent the paper's abstract framework state inside code.","internal_formula_proxy","README.md: The Generative Operator"
"recursive_operator","T","The self-reference operator; F = T[F] denotes recursive stability or fixed-point consistency, not empirical proof that nature realizes the model.","formal_relation","paper/THE_DIVINE_BLUEPRINT.tex: formula:fixed_point_generative_relation"
"generative_operator","W","The successor-producing operator that maps a parent state F to F' under norm preservation, bounded similarity, and positive residual constraints.","formal_relation","paper/THE_DIVINE_BLUEPRINT.tex: formula:generative_relation"
"successor_state","F'","A generated state in the same lineage as F that must be self-similar, non-colinear, and non-identical to the parent.","formal_relation","README.md: The Generative Operator"
"alpha","alpha","A recursive inheritance and scaling parameter constrained to 0 < alpha < 1 in executable operators.","parameter","code/core/self_replication.py: _validate_parameters"
"eta","eta","The novelty coefficient in the W operator; it controls the strength of the bounded gradient contribution.","parameter","README.md: The Generative Operator"
"mu","mu","The embodiment or coupling-strength coefficient in the W operator; it scales the novelty term without changing the parent-norm target.","parameter","README.md: The Generative Operator"
"phi","phi","The phase-rotation parameter applied to the shifted parent state inside the W operator.","parameter","code/core/self_replication.py: generative_operator"
"similarity","similarity(F,F')","The normalized overlap |<F,F'>|/(norm(F) norm(F')) used to measure recognizable structure across parent and successor.","metric","data/formula_registry.csv: self_similarity_overlap"
"residual","residual(F,F')","The normalized distance between parent and successor; it must remain positive so W does not collapse into cloning.","metric","data/formula_registry.csv: positive_residual"
"bounded_proxy","bounded proxy","A deliberately limited computational representation of a broader physical claim; it constrains internal behavior without claiming empirical proof.","claim_class","data/claim_triage.csv: bounded_proxy"
"internal_consistency","internal consistency","Agreement between paper statements, data ledgers, implementations, and passing tests inside the repository.","claim_class","README.md: Plain-Language Summary"
"external_validation","external validation","Independent measurement, observation, or accepted external data required before a physical mapping can be treated as empirically confirmed.","claim_class","data/validation_matrix.csv: external_validation_note"
"validation_matrix","validation matrix","The claim ledger that maps each executable paper claim to its paper anchor, implementation path, pytest function, evidence type, and external validation boundary.","audit_artifact","data/validation_matrix.csv"
"formula_registry","formula registry","The formula ledger that maps displayed mathematical relations to executable code and associated tests.","audit_artifact","data/formula_registry.csv"
"claim_triage","claim triage","The classification protocol separating executable claims, bounded proxies, formalization gaps, external empirical targets, context, and presentation risks.","audit_artifact","data/claim_triage.csv"
"adversarial_review","adversarial review","The standing attack ledger that records known critique vectors and the repository evidence meant to answer or absorb them.","audit_artifact","data/adversarial_review.csv"
"semantic_drift","semantic drift","A failure mode where terms, formulas, or tests keep their wording while their meaning shifts across paper, README, data, or code.","risk","data/adversarial_review.csv: semantic_drift"
